"Date d'admission","Hors soins intensifs","Aux soins intensifs"
"2022-12-03 00:00:00",,
"2022-12-04 00:00:00",,
"2022-12-05 00:00:00",1906,53
"2022-12-06 00:00:00",1923,51
"2022-12-07 00:00:00",1928,53
"2022-12-08 00:00:00",1930,51
"2022-12-09 00:00:00",1945,54
"2022-12-10 00:00:00",,
"2022-12-11 00:00:00",,
"2022-12-12 00:00:00",1958,63
"2022-12-13 00:00:00",2018,63
"2022-12-14 00:00:00",2039,67
"2022-12-15 00:00:00",2001,61
"2022-12-16 00:00:00",2011,57
"2022-12-17 00:00:00",,
"2022-12-18 00:00:00",,
"2022-12-19 00:00:00",2042,57
"2022-12-20 00:00:00",2092,57
"2022-12-21 00:00:00",2067,55
"2022-12-22 00:00:00",2064,55
"2022-12-23 00:00:00",,
"2022-12-24 00:00:00",,
"2022-12-25 00:00:00",,
"2022-12-26 00:00:00",,
"2022-12-27 00:00:00",,
"2022-12-28 00:00:00",2002,57
"2022-12-29 00:00:00",2020,64
"2022-12-30 00:00:00",,
"2022-12-31 00:00:00",,
"2023-01-01 00:00:00",,
"2023-01-02 00:00:00",,
"2023-01-03 00:00:00",,
"2023-01-04 00:00:00",2078,57
"2023-01-05 00:00:00",2095,58
"2023-01-06 00:00:00",2123,57
"2023-01-07 00:00:00",,
"2023-01-08 00:00:00",,
"2023-01-09 00:00:00",2084,53
"2023-01-10 00:00:00",2047,48
"2023-01-11 00:00:00",1982,44
"2023-01-12 00:00:00",1940,49
"2023-01-13 00:00:00",1896,50
"2023-01-14 00:00:00",,
"2023-01-15 00:00:00",,
"2023-01-16 00:00:00",1841,56
"2023-01-17 00:00:00",1807,52
"2023-01-18 00:00:00",1771,48
"2023-01-19 00:00:00",1718,44
"2023-01-20 00:00:00",1716,42
"2023-01-21 00:00:00",,
"2023-01-22 00:00:00",,
"2023-01-23 00:00:00",1674,37
"2023-01-24 00:00:00",1654,34
"2023-01-25 00:00:00",1596,35
"2023-01-26 00:00:00",1542,27
"2023-01-27 00:00:00",1520,23
"2023-01-28 00:00:00",,
"2023-01-29 00:00:00",,
"2023-01-30 00:00:00",1463,23
"2023-01-31 00:00:00",1450,26
"2023-02-01 00:00:00",1414,25
"2023-02-02 00:00:00",1384,24
"2023-02-03 00:00:00",1358,25
"2023-02-04 00:00:00",,
"2023-02-05 00:00:00",,
"2023-02-06 00:00:00",1340,30
"2023-02-07 00:00:00",1353,32
"2023-02-08 00:00:00",1351,27
"2023-02-09 00:00:00",1322,24
"2023-02-10 00:00:00",1297,30
"2023-02-11 00:00:00",,
"2023-02-12 00:00:00",,
"2023-02-13 00:00:00",1276,35
"2023-02-14 00:00:00",1287,33
